 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
--------------+-------+--------+-----------+----------------------------------+--------------+------------+----------+------------
        1.778 |  1920 |   1080 |           | /sLWUtbrpiLp23a0XDSiUiltdFPJ.jpg |        5.388 |          4 |     1930 | backdrop
        1.778 |  1920 |   1080 | pt        | /u1hxf2Co5pm3SJzqFbVyMA8v2N0.jpg |        5.384 |          2 |     1930 | backdrop
        1.778 |  3840 |   2160 |           | /yNjjZON4fPVIrYS6k7c6M4kYxsP.jpg |        5.312 |          1 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /HVcza6tJtWFrLriuh3Ano4Vt46.jpg  |        5.252 |          4 |     1930 | backdrop
        1.778 |  1280 |    720 | en        | /3W9F1P02LjZMYPGc8YwKtnZqK6O.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 | en        | /4QpbZFAQryrgWwjSorYD7OlYf21.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 | en        | /2zHtm2Ohz9Q9sxsbpRMLuVJIlGK.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 | en        | /aMqSuMYZ9L3wOPq19vbb5FEv2Uf.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /eX3nM4JG1p50QEHjdJxGTutFw7o.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /mDLt2u4W6qJv4BJdgv1LqrANJ9A.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1280 |    720 |           | /5mhdCtif4zzFZEYEIYIo6ZeiHTb.jpg |        5.246 |          2 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /eaJwlzDiMC5k4kp766NO8yXnt7U.jpg |         5.18 |          3 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /xYz4u1jWCKyXGzddMJeOL845DTr.jpg |         5.18 |          3 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /bShd9jt4LAg6LzSJqBZMW99vh4k.jpg |         5.18 |          3 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /tl5PoDXHwwgTjYv5T5k4aut9YXH.jpg |         5.18 |          3 |     1930 | backdrop
        1.778 |  1920 |   1080 |           | /rZHSdi4YoqicFRll7QVxfrKUo1o.jpg |        5.172 |          1 |     1930 | backdrop
